Row,steering_std,steering_min,steering_input_max,altitude_max,esc_std,full_road_diversity,max_angle,min_angle,road_distance,std_angle
mt/set_13/frenetic/test-944,76.11942067,-154.6471167,0.303229641,-27.75795252,0.235945586,398.7428846,26.9379943,-93.27172366,129.0435616,47.88560558
mt/set_13/frenetic/test-891,53.5221057,-3.773382912,0.00739879,-27.77480623,0.208298895,344.1572293,95.70133188,-349.1817312,139.2836321,148.3974967
mt/set_13/frenetic/test-260,115.5367836,-510,1,-27.7842993,0,166.2710341,310.6583975,-64.82125162,189.5103837,95.09200124
mt/set_13/frenetic/test-249,42.11161676,-73.97616526,0.15093449,-27.77406119,0.154257447,148.5502419,42.46182056,2.326056155,188.7074287,11.55237091
mt/set_13/frenetic/test-766,49.3416051,-35.36069341,0.069334693,-27.77375222,0,109.5599426,37.1956721,4.495451805,188.7120691,9.904967726
mt/set_13/frenetic/test-591,56.71536879,-150.6719253,0.295435148,-27.757271,0.182973316,217.5671405,9.287726703,-47.2445137,138.8049054,24.47442498
mt/set_13/frenetic/test-187,86.3984624,-119.2321195,0.23378847,-27.76162642,0.245144756,236.4105561,77.40483862,-342.5855086,158.9770675,115.2614861
mt/set_13/frenetic/test-473,101.7721939,-152.0145573,0.298067759,-27.75910973,0.243246737,122.5008712,43.08819788,-44.66643007,139.1310514,26.84130732
mt/set_13/frenetic/test-881,80.96179607,-188.8475682,0.370289349,-27.76144858,0.266469355,226.0366704,26.26117147,-70.14439038,138.9526725,32.47653553
mt/set_13/frenetic/test-139,68.91643685,-61.2632028,0.120123927,-27.77067194,0,148.2009711,70.00819564,-335.9488602,139.2989517,129.2417175
mt/set_13/frenetic/test-51,94.08976373,-140.3915771,0.275277602,-27.76818886,0.2456701,64.85189481,42.87025158,-330.6142072,129.2367365,108.8573033
mt/set_13/frenetic/test-490,46.22599617,14.26595084,-0.027972453,-27.77658795,0.17730006,533.3208759,122.2444808,-307.2296371,179.2974695,120.1216186
mt/set_13/frenetic/test-500,49.73634319,-10.44619788,0.020482741,-27.77476009,0.245089651,173.1076704,41.27247992,-335.3326796,218.6770294,92.21824668
mt/set_13/frenetic/test-482,91.71909616,-213.8532343,0.419320067,-27.75295125,0,98.48412704,2.535089388,-44.102604,139.3925355,15.03786548
mt/set_13/frenetic/test-624,48.63079383,-12.51084365,0.024531066,-27.77414517,0,52.99959074,41.6889218,-344.6497089,128.9811783,119.7765617
mt/set_13/frenetic/test-279,31.42565358,-10.39152836,0.020375546,-27.77184504,0,51.78566092,30.10789609,-340.2440016,129.0570551,111.4787502
mt/set_13/frenetic/test-80,96.64476496,-112.4125581,0.220416781,-27.76616138,0.140344121,123.8529828,36.85176957,-299.8615856,129.364199,112.5388856
mt/set_13/frenetic/test-852,106.2074905,-101.9075561,0.199818738,-27.77034471,0.172691879,75.03184482,31.17810121,-305.9957237,129.1336325,106.4485601
mt/set_13/frenetic/test-121,157.069676,-510,1,-27.79453801,0,239.8695575,55.58960029,-328.2335239,228.753844,98.52817639
mt/set_13/frenetic/test-274,22.63930393,-14.08188851,0.027611546,-27.77345868,0,200.2760591,62.69491752,-341.7803094,198.971754,103.3409283
mt/set_13/frenetic/test-603,103.1673594,-273.1915498,0.535669705,-27.76162523,0.232561655,220.5157781,25.56264991,-48.29233157,188.6055103,22.29007214
mt/set_13/frenetic/test-466,55.79570445,-39.98177866,0.078395644,-27.77045723,0.244622744,38.67952531,359.1581838,-344.0547685,168.7278275,138.3859083
mt/set_13/frenetic/test-710,54.99023368,-4.978002034,0.009760788,-27.77367581,0,65.03563965,37.62283083,-329.545975,129.7140553,106.5747817
mt/set_13/frenetic/test-123,127.2694093,-206.6539571,0.405203837,-27.76210013,0,76.80120944,32.9617736,-335.1923386,139.5260234,102.7255883
mt/set_13/frenetic/test-835,102.1917547,-160.3102567,0.314333837,-27.76766603,0.132142833,145.2466169,73.4343211,-332.1862613,149.4315256,108.6263308
mt/set_13/frenetic/test-119,40.85412485,-100.3466524,0.196758142,-27.75668912,0.210590352,191.4971484,30.19756158,-42.67928066,188.3058492,20.62129656
mt/set_13/frenetic/test-442,71.58013434,-147.0119162,0.288258659,-27.75841511,0.285616083,286.7979019,69.21360301,-330.958493,218.5066965,101.4727703
mt/set_13/frenetic/test-847,58.58210937,-56.84194545,0.111454795,-27.76620004,0.236482625,125.6251433,37.94496831,-27.88310996,138.8570631,19.90784217
mt/set_13/frenetic/test-129,33.19343924,-134.1703017,0.263079023,-27.75404311,0.253395491,125.2408092,1.294052114,-37.32560598,138.9764751,14.64492013
mt/set_13/frenetic/test-19,72.9321116,-110.5179264,0.216701816,-27.75713048,0.277703283,39.64383837,31.03267375,-17.46570285,148.9306976,16.15873634
mt/set_13/frenetic/test-751,97.44656693,-42.95631186,0.084228062,-27.76714454,0.224697327,37.61263968,34.24625065,-9.438501892,149.1980169,16.59879532
mt/set_13/frenetic/test-829,94.91911707,-172.9012638,0.358838233,-27.76156875,0.271293199,127.7602944,344.9107002,-286.380757,149.0748336,150.1058222
mt/set_13/frenetic/test-338,41.54494541,-29.995673,0.058815045,-27.76397856,0,195.7631911,53.02868858,-17.61529022,138.7369679,22.72005152
mt/set_13/frenetic/test-339,171.3292658,-510,1,-27.7924053,0,420.790349,97.470199,-344.6143594,229.4301675,152.5357535
mt/set_13/frenetic/test-546,39.77994108,0.887750456,-0.000933219,-27.7757625,0.210126032,106.4159341,56.2827857,-330.3745749,149.1090475,112.1213229
mt/set_13/frenetic/test-759,90.97240515,-124.2629594,0.243652861,-27.76571729,0.212425643,465.0153505,28.24999341,-262.9050814,139.1682761,104.8810802
mt/set_13/frenetic/test-740,177.7332644,-487.8817371,0.956630857,-27.76059032,0.306473866,361.7800415,320.8452768,-332.4026837,218.8108754,149.7695601
mt/set_13/frenetic/test-918,148.530128,-497.7415305,0.975963785,-27.75945927,0.247266478,138.4351175,-3.778998806,-63.06473046,139.384645,18.4592279
